joueur,equipe,competition,journee,type,x,y,resultat,angle,distance
LeBrun,Castres,TOP 14,6,pénalité,30.539614017267645,50.055865921787706,raté,17.512913860751386,27.52430367033712
LeBrun,Castres,TOP 14,6,transformation,30.865800865800857,2.2655122655122657,raté,8.613026708036529,40.02670003733468
LeBrun,Castres,TOP 14,6,transformation,30.38480038480038,16.334776334776333,réussi,15.55220203692717,29.3490055502171
LeBrun,Castres,TOP 14,6,transformation,30.625300625300618,14.651274651274653,réussi,14.46201667384342,30.61890715303895
LeBrun,Castres,TOP 14,6,transformation,28.460798460798465,20.784030784030783,réussi,19.311668450289083,25.150381217115164
Coly,Montpellier,TOP 14,6,pénalité,33.47826086956522,28.73517786561264,réussi,21.09645364886761,26.584310794775966
Coly,Montpellier,TOP 14,6,pénalité,33.873517786561266,63.7812911725955,raté,9.947493501178707,39.08623990026042
Coly,Montpellier,TOP 14,6,pénalité,26.758893280632407,45.20421607378128,réussi,23.286718944488232,21.77936963768037
Coly,Montpellier,TOP 14,6,pénalité,42.43741765480896,16.613965744400524,réussi,13.135719739187104,39.31294698053918
Coly,Montpellier,TOP 14,6,pénalité,41.51515151515152,16.218708827404477,réussi,13.212872895092117,38.6868285208013
Coly,Montpellier,TOP 14,6,transformation,29.8075998075998,51.688311688311686,réussi,16.560309084912635,27.87276873632742
Coly,Montpellier,TOP 14,6,transformation,30.4088504088504,65.27657527657527,réussi,9.123898471106685,38.0328629864709
Lafage,Vannes,TOP 14,6,pénalité,35.401030655391125,16.294926004228323,réussi,14.563454436069367,33.41480046192357
Lafage,Vannes,TOP 14,6,transformation,26.377465127465115,20.543530543530544,réussi,19.834154609311764,23.596559394863952
Lafage,Vannes,TOP 14,6,transformation,30.46596921596921,57.340067340067336,réussi,12.88557177924388,32.07739648717216
Jalibert,Bordeaux,TOP 14,6,transformation,31.01891003053794,2.097721400046982,raté,8.571743101747396,40.252236252360966
Jalibert,Bordeaux,TOP 14,6,transformation,30.31418839558374,21.47756636128729,raté,19.08863232766379,26.349068308040177
Jalibert,Bordeaux,TOP 14,6,transformation,30.90145642471224,18.423772609819125,réussi,16.809429724592377,28.499542062514653
Jalibert,Bordeaux,TOP 14,6,transformation,17.159384543105475,38.39088560018792,réussi,50.9575697337185,10.194016497454305
Jalibert,Bordeaux,TOP 14,6,transformation,18.216466995536763,37.09889593610524,réussi,49.37612861615326,10.850252505388791
Garcia,Bordeaux,TOP 14,6,transformation,23.844696969696976,19.16666666666667,réussi,18.9458239219612,22.569389259662703
Garcia,Bordeaux,TOP 14,6,transformation,19.962121212121215,30.53030303030304,réussi,40.78530584721943,13.087552891621907
Garcia,Bordeaux,TOP 14,6,transformation,32.65151515151516,64.52651515151516,réussi,9.605411418597516,38.842210575242
Garcia,Bordeaux,TOP 14,6,transformation,32.08333333333334,55.43560606060608,réussi,13.854597541405932,31.991391932375983
Garcia,Bordeaux,TOP 14,6,transformation,31.79924242424243,63.10606060606061,réussi,10.11838945307153,37.207896334570826
Aucagne,Perpignan,TOP 14,6,transformation,31.79924242424243,60.26515151515153,raté,11.37872472076022,35.09829199971221
Aucagne,Perpignan,TOP 14,6,transformation,20.056818181818187,28.352272727272737,réussi,36.47959561028284,14.040881633155085
West,LaRochelle,TOP 14,6,transformation,28.390151515151523,50.79545454545456,réussi,17.554655204353747,26.204295912195445
Segonds,Bayonne,TOP 14,6,pénalité,18.92045454545452,37.26239669421488,réussi,46.58755194956127,11.57286263018353
Segonds,Bayonne,TOP 14,6,pénalité,32.09194214876031,14.66425619834711,réussi,14.298920637902793,31.72809554448329
Segonds,Bayonne,TOP 14,6,transformation,30.376825247291578,53.35374470089495,réussi,15.32330237578136,29.34943251779132
Segonds,Bayonne,TOP 14,6,transformation,18.71879415920867,38.634008478568056,réussi,44.9982205592876,11.744654897030667
Segonds,Bayonne,TOP 14,6,transformation,30.61234102684881,69.36881771078662,raté,7.718316898018068,41.49317235607339
Berdeu,Lyon,TOP 14,6,transformation,31.755906522855668,14.78171545968156,réussi,14.408397784904851,31.394295803681537
Berdeu,Lyon,TOP 14,6,transformation,30.60028248587569,21.843862352336927,réussi,19.21644790034385,26.41392320433421
Berdeu,Lyon,TOP 14,6,transformation,30.471879815100152,16.450950179763737,réussi,15.613157267834238,29.343708662069098
Berdeu,Lyon,TOP 14,6,transformation,16.604391371340512,33.78531073446327,réussi,58.27287146462387,9.061696184111227
Berdeu,Lyon,TOP 14,6,transformation,32.01271186440677,62.41910631741139,réussi,10.419486215120031,36.82985891079775
Carbonel,StadeFrançais,TOP 14,6,pénalité,30.6628787878788,32.14015151515152,réussi,24.496947992304463,23.21611659207071
LeGarrec,Racing,TOP 14,7,pénalité,30.686049323017382,36.78433268858801,réussi,24.58070268272213,23.1637122949148
Lancaster,Racing,TOP 14,7,transformation,30.000000000000007,13.863636363636363,raté,14.033075439204504,30.68452160274688
Segonds,Bayonne,TOP 14,7,pénalité,30.702422577422567,54.81018981018981,réussi,14.361497555498175,30.534852928515285
Segonds,Bayonne,TOP 14,7,pénalité,30.3277972027972,28.21178821178821,réussi,23.3574109543928,23.670308862649136
Segonds,Bayonne,TOP 14,7,transformation,17.103030303030316,37.27272727272727,réussi,53.71938717890812,9.8056802452031
Segonds,Bayonne,TOP 14,7,transformation,17.466666666666676,38.96969696969697,réussi,48.30840733973443,10.692588018485417
Segonds,Bayonne,TOP 14,7,transformation,31.890909090909112,0.5454545454545467,raté,8.153694851425012,42.0225434335316
Segonds,Bayonne,TOP 14,7,transformation,30.80000000000002,19.696969696969703,réussi,17.684150189997933,27.70068996569037
Lafage,Vannes,TOP 14,7,transformation,30.730758916599623,8.369536068651115,réussi,11.076493703999368,35.14929006413694
Lafage,Vannes,TOP 14,7,pénalité,19.24447174447173,33.73464373464373,réussi,46.75111506863448,11.69257621445235
Lafage,Vannes,TOP 14,7,pénalité,30.42383292383291,26.36363636363636,réussi,22.258639914502258,24.34274457998681
Lafage,Vannes,TOP 14,7,pénalité,33.98648648648648,26.486486486486484,réussi,19.913098080761092,27.672938661721176
Lafage,Vannes,TOP 14,7,pénalité,33.37223587223587,44.54545454545454,réussi,19.553645543132134,27.53558345652443
Urdapilleta,Clermont,TOP 14,7,transformation,34.80356663984985,5.151515151515154,réussi,9.89841437277723,40.26356932949682
Urdapilleta,Clermont,TOP 14,7,transformation,31.987798337355883,64.28264950388845,raté,9.65547003261874,38.22942711221416
Urdapilleta,Clermont,TOP 14,7,transformation,24.74725127379997,21.241619737194963,raté,21.11679032112009,21.88091661472861
Urdapilleta,Clermont,TOP 14,7,transformation,33.73089300080453,17.621346205417005,réussi,15.609576312214502,31.289837853149148
Belleau,Clermont,TOP 14,7,transformation,30.99640095974405,55.44921354305518,réussi,13.950449719007578,31.17654411510141
Belleau,Clermont,TOP 14,7,transformation,31.396294321514247,68.77899226872833,raté,8.000722339268469,41.44861137675805
Belleau,Clermont,TOP 14,7,transformation,32.8625699813383,67.97920554518794,réussi,8.406441408913722,41.66844318348714
LeBail,Vannes,TOP 14,7,transformation,26.247667288723008,20.391895494534783,réussi,19.726964008588453,23.58599969956168
LeBail,Vannes,TOP 14,7,transformation,30.37989869368168,58.24846707544654,réussi,12.382497314156309,32.6609309228205
Urdapilleta,Clermont,TOP 14,7,transformation,31.893939393939405,67.46212121212122,raté,8.487410020979349,40.672596526213006
Simmonds,Pau,TOP 14,7,transformation,18.279489105935383,35.07888805409467,réussi,50.75263386686499,10.678017053355273
Simmonds,Pau,TOP 14,7,pénalité,41.55945881794446,15.041538096368384,raté,12.82754611984084,39.30524090789535
Daubagna,Pau,TOP 14,7,transformation,30.284090909090917,5.4356060606060606,réussi,9.752309698034829,37.134073703398855
Kinghorn,Toulouse,TOP 14,7,transformation,30.721744471744472,53.26781326781326,réussi,15.325553402313815,29.564218298224937
Kinghorn,Toulouse,TOP 14,7,transformation,30.23034398034397,55.72481572481571,raté,13.840884621101804,30.792215987447985
Kinghorn,Toulouse,TOP 14,7,transformation,33.17874692874693,1.9164619164619177,réussi,8.707773101912585,41.6887714750207
Kinghorn,Toulouse,TOP 14,7,pénalité,31.325757575757574,14.621212121212125,réussi,14.367840188844315,31.168468596169348
Kinghorn,Toulouse,TOP 14,7,pénalité,52.9594330400782,35.08797653958944,raté,12.746303834948533,45.35594966016991
Herve,Toulon,TOP 14,7,transformation,20.49672626542433,22.989171493326616,réussi,25.12378295871432,17.51105044624763
Herve,Toulon,TOP 14,7,pénalité,19.02914367953946,26.939313984168862,réussi,34.859944260089954,13.890118008067605
Herve,Toulon,TOP 14,7,pénalité,45.29443511633485,6.071000239865676,raté,9.81836930512345,47.41471309377438
Herve,Toulon,TOP 14,7,pénalité,45.054569441112974,47.44782921563924,réussi,13.836416800058185,39.51600764338306
Vincent,Montpellier,TOP 14,7,transformation,18.573754069621828,35.57976458802906,réussi,49.39882737774944,10.994569455816272
Vincent,Montpellier,TOP 14,7,pénalité,45.22492365515621,22.534648813718583,raté,13.934651151646744,39.58179868780202
Vincent,Montpellier,TOP 14,7,pénalité,32.070119802677944,60.58961710124501,réussi,11.23250004951875,35.520083947351964
Herve,Toulon,TOP 14,7,pénalité,47.14015151515152,13.674242424242427,raté,11.46333419591196,44.84463961876303
Garbisi,Toulon,TOP 14,7,transformation,19.99377334993773,43.05105853051058,réussi,32.57506203696317,14.864050935887477
Garbisi,Toulon,TOP 14,7,transformation,27.59028642590285,18.76712328767123,raté,17.88983546480882,25.646650680227687
Herve,Toulon,TOP 14,7,transformation,30.56818181818182,60.17045454545456,raté,11.387688392330636,34.19104873571214
Hogg,Montpellier,TOP 14,7,transformation,15.795454545454549,28.352272727272737,réussi,45.03689360695062,10.44868529488967
Le Garrec,Racing 92,Top 14 ,6,pénalité,32.08333333333334,56.287878787878796,réussi,13.387656349118979,32.54665601753983
Le Garrec,Racing 92,Top 14 ,6,pénalité,32.08333333333334,56.287878787878796,réussi,13.387656349118979,32.54665601753983
Le Garrec,Racing 92,Top 14 ,6,pénalité,35.871212121212125,49.469696969696976,raté,16.10164804350981,31.828981994144353
Le Garrec,Racing 92,Top 14 ,6,pénalité,32.08333333333334,56.287878787878796,réussi,13.387656349118979,32.54665601753983
Le Garrec,Racing 92,Top 14 ,6,pénalité,35.871212121212125,49.469696969696976,raté,16.10164804350981,31.828981994144353
Le Garrec,Racing 92,Top 14 ,6,pénalité,27.91666666666667,41.8939393939394,réussi,25.162895179643794,21.502802217054626
Le Garrec,Racing 92,Top 14 ,6,pénalité,32.08333333333334,56.287878787878796,réussi,13.387656349118979,32.54665601753983
Le Garrec,Racing 92,Top 14 ,6,pénalité,35.871212121212125,49.469696969696976,raté,16.10164804350981,31.828981994144353
Le Garrec,Racing 92,Top 14 ,6,pénalité,27.91666666666667,41.8939393939394,réussi,25.162895179643794,21.502802217054626
Le Garrec,Racing 92,Top 14 ,6,pénalité,51.21212121212122,28.63636363636364,réussi,13.013126738014261,44.046882421990965
Le Garrec,Racing 92,Top 14 ,6,pénalité,32.08333333333334,56.287878787878796,réussi,13.387656349118979,32.54665601753983
Le Garrec,Racing 92,Top 14 ,6,pénalité,35.871212121212125,49.469696969696976,raté,16.10164804350981,31.828981994144353
Le Garrec,Racing 92,Top 14 ,6,pénalité,27.91666666666667,41.8939393939394,réussi,25.162895179643794,21.502802217054626
Le Garrec,Racing 92,Top 14 ,6,pénalité,51.21212121212122,28.63636363636364,réussi,13.013126738014261,44.046882421990965
Le Garrec,Racing 92,Top 14 ,6,pénalité,36.25,20.303030303030305,réussi,16.16337337931454,32.122875606858756
Le Garrec,Racing 92,Top 14 ,6,pénalité,32.08333333333334,56.287878787878796,réussi,13.387656349118979,32.54665601753983
Le Garrec,Racing 92,Top 14 ,6,pénalité,35.871212121212125,49.469696969696976,raté,16.10164804350981,31.828981994144353
Le Garrec,Racing 92,Top 14 ,6,pénalité,27.91666666666667,41.8939393939394,réussi,25.162895179643794,21.502802217054626
Le Garrec,Racing 92,Top 14 ,6,pénalité,51.21212121212122,28.63636363636364,réussi,13.013126738014261,44.046882421990965
Le Garrec,Racing 92,Top 14 ,6,pénalité,36.25,20.303030303030305,réussi,16.16337337931454,32.122875606858756
Le Garrec,Racing 92,Top 14 ,6,pénalité,51.780303030303045,46.81818181818183,réussi,12.175466945651651,45.77153366001418
Le Garrec,Racing 92,Top 14 ,6,pénalité,32.08333333333334,56.287878787878796,réussi,13.387656349118979,32.54665601753983
Le Garrec,Racing 92,Top 14 ,6,pénalité,35.871212121212125,49.469696969696976,raté,16.10164804350981,31.828981994144353
Le Garrec,Racing 92,Top 14 ,6,pénalité,27.91666666666667,41.8939393939394,réussi,25.162895179643794,21.502802217054626
